date,hour,Average Wait Time,Max WaitTime
10/3/2019,0000 - 0100,4,24
10/3/2019,0900 - 1000,12,39
10/3/2019,1000 - 1100,11,38
10/3/2019,1100 - 1200,14,56
10/3/2019,1200 - 1300,10,23
10/3/2019,1300 - 1400,14,65
10/3/2019,1400 - 1500,8,37
10/3/2019,1500 - 1600,13,55
10/3/2019,1600 - 1700,12,58
10/3/2019,1700 - 1800,12,27
10/3/2019,1800 - 1900,11,34
10/3/2019,1900 - 2000,18,62
10/3/2019,2000 - 2100,11,54
10/3/2019,2100 - 2200,6,31
10/3/2019,2200 - 2300,4,18
10/3/2019,0600 - 0700,8,30
10/3/2019,0700 - 0800,12,52
10/3/2019,0800 - 0900,8,32
10/3/2019,0900 - 1000,8,26
10/3/2019,1000 - 1100,5,27
10/3/2019,1100 - 1200,9,49
10/3/2019,1200 - 1300,16,51
10/3/2019,1300 - 1400,14,39
10/3/2019,1400 - 1500,7,32
10/3/2019,1500 - 1600,12,45
10/3/2019,1600 - 1700,21,55
10/3/2019,1700 - 1800,8,36
10/3/2019,1900 - 2000,8,26
10/3/2019,2000 - 2100,14,40
10/3/2019,2100 - 2200,13,26
10/4/2019,0000 - 0100,4,11
10/4/2019,0100 - 0200,5,20
10/4/2019,0900 - 1000,7,14
10/4/2019,1000 - 1100,16,101
10/4/2019,1100 - 1200,12,50
10/4/2019,1200 - 1300,11,44
10/4/2019,1300 - 1400,8,21
10/4/2019,1400 - 1500,12,51
10/4/2019,1500 - 1600,12,23
10/4/2019,1600 - 1700,8,33
10/4/2019,1700 - 1800,15,46
10/4/2019,1800 - 1900,10,23
10/4/2019,1900 - 2000,19,62
10/4/2019,2000 - 2100,10,32
10/4/2019,2100 - 2200,8,28
10/4/2019,2200 - 2300,4,19
10/4/2019,2300 - 0000,28,35
10/4/2019,0500 - 0600,24,63
10/4/2019,0600 - 0700,21,128
10/4/2019,0700 - 0800,25,99
10/4/2019,0800 - 0900,16,39
10/4/2019,0900 - 1000,10,72
10/4/2019,1000 - 1100,9,27
10/4/2019,1100 - 1200,14,77
10/4/2019,1200 - 1300,10,29
10/4/2019,1400 - 1500,8,23
10/4/2019,1500 - 1600,9,42
10/4/2019,1600 - 1700,18,58
10/4/2019,1900 - 2000,9,21
10/4/2019,2000 - 2100,7,63
10/4/2019,2100 - 2200,17,45
10/5/2019,0000 - 0100,13,28
10/5/2019,0900 - 1000,9,35
10/5/2019,1000 - 1100,11,20
10/5/2019,1100 - 1200,11,52
10/5/2019,1200 - 1300,14,40
10/5/2019,1300 - 1400,17,48
10/5/2019,1400 - 1500,11,54
10/5/2019,1500 - 1600,8,21
10/5/2019,1600 - 1700,11,52
10/5/2019,1700 - 1800,9,66
10/5/2019,1800 - 1900,10,59
10/5/2019,1900 - 2000,11,52
10/5/2019,2000 - 2100,16,85
10/5/2019,2100 - 2200,7,49
10/5/2019,2300 - 0000,16,32
10/5/2019,0000 - 0100,24,58
10/5/2019,0500 - 0600,36,73
10/5/2019,0600 - 0700,26,118
10/5/2019,0700 - 0800,23,58
10/5/2019,0800 - 0900,15,80
10/5/2019,0900 - 1000,14,69
10/5/2019,1000 - 1100,11,27
10/5/2019,1100 - 1200,23,51
10/5/2019,1200 - 1300,21,54
10/5/2019,1300 - 1400,13,29
10/5/2019,1400 - 1500,13,41
10/5/2019,1500 - 1600,18,40
10/5/2019,1600 - 1700,13,58
10/5/2019,1700 - 1800,5,9
10/5/2019,1800 - 1900,23,28
10/5/2019,1900 - 2000,10,37
10/5/2019,2000 - 2100,13,28
10/5/2019,2100 - 2200,6,21
10/5/2019,2200 - 2300,5,14
10/6/2019,0000 - 0100,19,36
10/6/2019,0900 - 1000,8,27
10/6/2019,1000 - 1100,13,29
10/6/2019,1100 - 1200,12,46
10/6/2019,1200 - 1300,10,24
10/6/2019,1300 - 1400,14,34
10/6/2019,1400 - 1500,10,64
10/6/2019,1500 - 1600,7,27
10/6/2019,1600 - 1700,11,36
10/6/2019,1700 - 1800,14,44
10/6/2019,1800 - 1900,12,28
10/6/2019,1900 - 2000,13,44
10/6/2019,2000 - 2100,13,67
10/6/2019,2200 - 2300,6,25
10/6/2019,2300 - 0000,4,12
10/6/2019,0600 - 0700,13,56
10/6/2019,0800 - 0900,8,37
10/6/2019,0900 - 1000,15,33
10/6/2019,1000 - 1100,13,33
10/6/2019,1100 - 1200,12,53
10/6/2019,1300 - 1400,8,22
10/6/2019,1400 - 1500,12,27
10/6/2019,1500 - 1600,14,42
10/6/2019,1600 - 1700,11,37
10/6/2019,1700 - 1800,23,32
10/6/2019,1900 - 2000,7,35
10/6/2019,2000 - 2100,9,26
10/6/2019,2100 - 2200,10,39
10/7/2019,0000 - 0100,5,18
10/7/2019,0100 - 0200,6,16
10/7/2019,0400 - 0500,4,9
10/7/2019,0800 - 0900,29,46
10/7/2019,1000 - 1100,10,27
10/7/2019,1100 - 1200,15,50
10/7/2019,1200 - 1300,11,27
10/7/2019,1300 - 1400,8,20
10/7/2019,1400 - 1500,15,57
10/7/2019,1500 - 1600,15,34
10/7/2019,1600 - 1700,13,52
10/7/2019,1700 - 1800,14,35
10/7/2019,1900 - 2000,10,29
10/7/2019,2000 - 2100,14,33
10/7/2019,2100 - 2200,7,20
10/7/2019,2200 - 2300,3,9
10/7/2019,2300 - 0000,5,29
10/7/2019,0500 - 0600,41,95
10/7/2019,0600 - 0700,30,70
10/7/2019,0700 - 0800,13,52
10/7/2019,0800 - 0900,14,34
10/7/2019,0900 - 1000,7,37
10/7/2019,1000 - 1100,11,45
10/7/2019,1100 - 1200,11,40
10/7/2019,1200 - 1300,12,39
10/7/2019,1300 - 1400,8,20
10/7/2019,1400 - 1500,11,24
10/7/2019,1500 - 1600,8,19
10/7/2019,1600 - 1700,9,40
10/7/2019,1700 - 1800,12,27
10/7/2019,1800 - 1900,12,25
10/7/2019,1900 - 2000,14,36
10/7/2019,2000 - 2100,20,53
10/7/2019,2100 - 2200,17,30
10/8/2019,0000 - 0100,4,13
10/8/2019,0100 - 0200,7,17
10/8/2019,0800 - 0900,9,23
10/8/2019,0900 - 1000,2,9
10/8/2019,1000 - 1100,8,25
10/8/2019,1100 - 1200,14,43
10/8/2019,1200 - 1300,11,27
10/8/2019,1300 - 1400,14,72
10/8/2019,1400 - 1500,12,65
10/8/2019,1600 - 1700,14,40
10/8/2019,1700 - 1800,24,62
10/8/2019,1800 - 1900,12,32
10/8/2019,1900 - 2000,19,55
10/8/2019,2000 - 2100,12,39
10/8/2019,2100 - 2200,5,14
10/8/2019,2200 - 2300,4,19
10/8/2019,0500 - 0600,15,32
10/8/2019,0600 - 0700,15,32
10/8/2019,0700 - 0800,11,18
10/8/2019,0800 - 0900,8,22
10/8/2019,0900 - 1000,9,26
10/8/2019,1000 - 1100,10,34
10/8/2019,1100 - 1200,14,50
10/8/2019,1200 - 1300,15,38
10/8/2019,1300 - 1400,7,21
10/8/2019,1400 - 1500,7,27
10/8/2019,1500 - 1600,10,38
10/8/2019,1600 - 1700,16,56
10/8/2019,1900 - 2000,26,76
10/8/2019,2000 - 2100,33,58
10/8/2019,2100 - 2200,25,50
10/9/2019,0000 - 0100,7,34
10/9/2019,0900 - 1000,7,19
10/9/2019,1000 - 1100,15,38
10/9/2019,1100 - 1200,17,78
10/9/2019,1200 - 1300,13,61
10/9/2019,1300 - 1400,12,55
10/9/2019,1400 - 1500,14,63
10/9/2019,1500 - 1600,13,33
10/9/2019,1600 - 1700,7,32
10/9/2019,1700 - 1800,11,27
10/9/2019,1800 - 1900,18,44
10/9/2019,1900 - 2000,24,70
10/9/2019,2000 - 2100,14,38
10/9/2019,2100 - 2200,7,22
10/9/2019,2300 - 0000,4,11
10/9/2019,0600 - 0700,9,59
10/9/2019,0700 - 0800,11,29
10/9/2019,0800 - 0900,7,19
10/9/2019,0900 - 1000,11,31
10/9/2019,1000 - 1100,12,34
10/9/2019,1100 - 1200,27,81
10/9/2019,1200 - 1300,24,57
