date,hour,Average Wait Time,Max Wait Time,time
10/3/2019,0000 - 0100,4,24,0
10/3/2019,0900 - 1000,12,39,9
10/3/2019,1000 - 1100,11,38,10
10/3/2019,1100 - 1200,14,56,11
10/3/2019,1200 - 1300,10,23,12
10/3/2019,1300 - 1400,14,65,13
10/3/2019,1400 - 1500,8,37,14
10/3/2019,1500 - 1600,13,55,15
10/3/2019,1600 - 1700,12,58,16
10/3/2019,1700 - 1800,12,27,17
10/3/2019,1800 - 1900,11,34,18
10/3/2019,1900 - 2000,18,62,19
10/3/2019,2000 - 2100,11,54,20
10/3/2019,2100 - 2200,6,31,21
10/3/2019,2200 - 2300,4,18,22
10/3/2019,0600 - 0700,8,30,6
10/3/2019,0700 - 0800,12,52,7
10/3/2019,0800 - 0900,8,32,8
10/3/2019,0900 - 1000,8,26,9
10/3/2019,1000 - 1100,5,27,10
10/3/2019,1100 - 1200,9,49,11
10/3/2019,1200 - 1300,16,51,12
10/3/2019,1300 - 1400,14,39,13
10/3/2019,1400 - 1500,7,32,14
10/3/2019,1500 - 1600,12,45,15
10/3/2019,1600 - 1700,21,55,16
10/3/2019,1700 - 1800,8,36,17
10/3/2019,1900 - 2000,8,26,19
10/3/2019,2000 - 2100,14,40,20
10/3/2019,2100 - 2200,13,26,21
10/4/2019,0000 - 0100,4,11,24
10/4/2019,0100 - 0200,5,20,25
10/4/2019,0900 - 1000,7,14,33
10/4/2019,1000 - 1100,16,101,34
10/4/2019,1100 - 1200,12,50,35
10/4/2019,1200 - 1300,11,44,36
10/4/2019,1300 - 1400,8,21,37
10/4/2019,1400 - 1500,12,51,38
10/4/2019,1500 - 1600,12,23,39
10/4/2019,1600 - 1700,8,33,40
10/4/2019,1700 - 1800,15,46,41
10/4/2019,1800 - 1900,10,23,42
10/4/2019,1900 - 2000,19,62,43
10/4/2019,2000 - 2100,10,32,44
10/4/2019,2100 - 2200,8,28,45
10/4/2019,2200 - 2300,4,19,46
10/4/2019,2300 - 0000,28,35,47
10/4/2019,0500 - 0600,24,63,29
10/4/2019,0600 - 0700,21,128,30
10/4/2019,0700 - 0800,25,99,31
10/4/2019,0800 - 0900,16,39,32
10/4/2019,0900 - 1000,10,72,33
10/4/2019,1000 - 1100,9,27,34
10/4/2019,1100 - 1200,14,77,35
10/4/2019,1200 - 1300,10,29,36
10/4/2019,1400 - 1500,8,23,38
10/4/2019,1500 - 1600,9,42,39
10/4/2019,1600 - 1700,18,58,40
10/4/2019,1900 - 2000,9,21,43
10/4/2019,2000 - 2100,7,63,44
10/4/2019,2100 - 2200,17,45,45
10/5/2019,0000 - 0100,13,28,48
10/5/2019,0900 - 1000,9,35,57
10/5/2019,1000 - 1100,11,20,58
10/5/2019,1100 - 1200,11,52,59
10/5/2019,1200 - 1300,14,40,60
