date,hour,Average Wait Time,Max WaitTime,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
10/3/2019,0000 - 0100,8,26,176,41,0,0,0,0,0,8,225,2,5
10/3/2019,0900 - 1000,17,44,179,144,51,0,0,0,0,11,385,2,17
10/3/2019,1000 - 1100,21,68,169,79,71,19,12,0,0,11,361,2,18
10/3/2019,1100 - 1200,23,61,226,203,119,54,2,0,0,17,621,4,19
10/3/2019,1200 - 1300,13,27,192,99,0,0,0,0,0,7,298,1,22
10/3/2019,1300 - 1400,21,65,424,281,190,70,11,0,0,27,1003,4,23
10/3/2019,1400 - 1500,15,41,291,168,50,0,0,0,0,14,523,2,23
10/3/2019,1500 - 1600,23,61,238,173,124,66,5,0,0,20,626,2,21
10/3/2019,1600 - 1700,23,72,465,232,129,90,45,0,0,29,990,5,22
10/3/2019,1700 - 1800,25,75,248,154,107,50,38,0,0,15,612,2,11
10/3/2019,1800 - 1900,29,68,85,24,10,26,32,0,0,6,183,1,10
10/3/2019,1900 - 2000,22,70,244,314,102,42,11,0,0,24,737,4,10
10/3/2019,2000 - 2100,24,88,304,104,18,19,98,0,0,24,567,2,10
10/3/2019,2100 - 2200,9,47,88,5,8,3,0,0,0,6,110,1,7
10/3/2019,2200 - 2300,6,24,53,8,0,0,0,0,0,4,65,1,6
10/3/2019,0600 - 0700,13,64,503,166,21,18,3,0,0,23,734,3,12
10/3/2019,0700 - 0800,21,72,187,126,41,42,15,0,0,10,421,2,17
10/3/2019,0800 - 0900,13,57,522,115,50,17,0,0,0,23,727,4,20
10/3/2019,0900 - 1000,12,47,269,82,18,3,0,0,0,11,383,2,16
10/3/2019,1000 - 1100,7,27,409,54,0,0,0,0,0,14,477,3,16
10/3/2019,1100 - 1200,22,108,499,225,82,59,66,16,0,24,971,4,18
10/3/2019,1200 - 1300,30,85,233,268,67,44,140,0,0,24,776,2,18
10/3/2019,1300 - 1400,24,67,151,105,6,36,38,0,0,11,347,1,21
10/3/2019,1400 - 1500,12,46,524,138,35,5,0,0,0,23,725,3,19
10/3/2019,1500 - 1600,28,78,360,254,132,111,122,0,0,29,1008,4,19
10/3/2019,1600 - 1700,29,78,240,333,155,106,104,0,0,28,966,4,22
10/3/2019,1700 - 1800,15,39,324,180,61,0,0,0,0,13,578,2,19
10/3/2019,1900 - 2000,11,30,437,149,0,0,0,0,0,17,603,2,17
10/3/2019,2000 - 2100,19,64,396,330,117,25,10,0,0,29,907,4,15
10/3/2019,2100 - 2200,16,33,63,57,11,0,0,0,0,2,133,1,16
10/4/2019,0000 - 0100,7,28,97,13,0,0,0,0,0,6,116,1,6
10/4/2019,0100 - 0200,8,22,77,21,0,0,0,0,0,5,103,1,7
10/4/2019,0900 - 1000,8,20,73,6,0,0,0,0,0,5,84,1,12
10/4/2019,1000 - 1100,33,108,308,178,88,84,119,44,0,25,846,4,18
10/4/2019,1100 - 1200,33,78,164,79,27,89,88,0,0,15,462,2,21
10/4/2019,1200 - 1300,37,94,275,105,104,95,182,14,0,23,798,3,26
10/4/2019,1300 - 1400,19,47,231,96,92,11,0,0,0,9,439,2,26
10/4/2019,1400 - 1500,31,72,443,253,229,311,100,0,0,35,1371,5,23
10/4/2019,1500 - 1600,16,32,114,108,8,0,0,0,0,6,236,1,19
10/4/2019,1600 - 1700,14,35,167,84,24,0,0,0,0,8,283,1,14
10/4/2019,1700 - 1800,22,57,404,492,264,66,0,0,0,34,1260,5,18
10/4/2019,1800 - 1900,12,25,206,68,0,0,0,0,0,6,280,1,18
10/4/2019,1900 - 2000,23,62,265,256,211,26,1,0,0,17,776,4,23
10/4/2019,2000 - 2100,16,38,163,89,40,0,0,0,0,8,300,1,13
10/4/2019,2100 - 2200,14,31,55,40,2,0,0,0,0,4,101,1,7
10/4/2019,2200 - 2300,6,24,97,14,0,0,0,0,0,6,117,1,5
10/4/2019,2300 - 0000,31,46,0,56,62,3,0,0,0,4,125,1,6
10/4/2019,0500 - 0600,27,84,123,219,126,58,22,0,0,24,572,2,12
10/4/2019,0600 - 0700,38,139,278,206,93,70,101,56,30,22,856,4,17
10/4/2019,0700 - 0800,43,115,103,56,67,35,65,45,0,12,383,2,17
10/4/2019,0800 - 0900,17,68,327,175,125,0,5,0,0,19,651,4,15
10/4/2019,0900 - 1000,14,72,378,143,18,13,11,0,0,20,583,3,15
10/4/2019,1000 - 1100,18,77,311,77,12,39,36,0,0,16,491,3,16
10/4/2019,1100 - 1200,20,82,269,209,16,40,31,0,0,19,584,3,18
