date,hour,Average Wait Time,Max WaitTime
10/3/2019,0000 - 0100,12,26
10/3/2019,0900 - 1000,20,44
10/3/2019,1000 - 1100,24,68
10/3/2019,1100 - 1200,27,61
10/3/2019,1200 - 1300,16,27
10/3/2019,1300 - 1400,26,65
10/3/2019,1400 - 1500,18,41
10/3/2019,1500 - 1600,29,61
10/3/2019,1600 - 1700,35,72
10/3/2019,1700 - 1800,36,75
10/3/2019,1800 - 1900,35,68
10/3/2019,1900 - 2000,27,70
10/3/2019,2000 - 2100,41,88
10/3/2019,2100 - 2200,13,47
10/3/2019,2200 - 2300,8,24
10/3/2019,0600 - 0700,17,64
10/3/2019,0700 - 0800,26,72
10/3/2019,0800 - 0900,18,57
10/3/2019,0900 - 1000,17,47
10/3/2019,1000 - 1100,10,27
10/3/2019,1100 - 1200,32,108
10/3/2019,1200 - 1300,35,85
10/3/2019,1300 - 1400,34,67
10/3/2019,1400 - 1500,17,46
10/3/2019,1500 - 1600,39,78
10/3/2019,1600 - 1700,36,78
10/3/2019,1700 - 1800,17,39
10/3/2019,1900 - 2000,15,30
10/3/2019,2000 - 2100,22,64
10/3/2019,2100 - 2200,18,33
10/4/2019,0000 - 0100,8,28
10/4/2019,0100 - 0200,10,22
10/4/2019,0900 - 1000,9,20
10/4/2019,1000 - 1100,46,108
10/4/2019,1100 - 1200,43,78
10/4/2019,1200 - 1300,50,94
10/4/2019,1300 - 1400,24,47
10/4/2019,1400 - 1500,39,72
10/4/2019,1500 - 1600,20,32
10/4/2019,1600 - 1700,18,35
10/4/2019,1700 - 1800,28,57
10/4/2019,1800 - 1900,15,25
10/4/2019,1900 - 2000,27,53
10/4/2019,2000 - 2100,20,38
10/4/2019,2100 - 2200,17,31
10/4/2019,2200 - 2300,8,24
10/4/2019,2300 - 0000,32,46
10/4/2019,0500 - 0600,28,84
10/4/2019,0600 - 0700,54,139
10/4/2019,0700 - 0800,51,115
10/4/2019,0800 - 0900,20,68
10/4/2019,0900 - 1000,17,72
10/4/2019,1000 - 1100,26,77
10/4/2019,1100 - 1200,26,82
10/4/2019,1200 - 1300,20,42
10/4/2019,1400 - 1500,19,38
10/4/2019,1500 - 1600,27,69
10/4/2019,1600 - 1700,30,61
10/4/2019,1900 - 2000,13,25
10/4/2019,2000 - 2100,29,86
10/4/2019,2100 - 2200,39,75
10/5/2019,0000 - 0100,16,30
10/5/2019,0900 - 1000,17,41
10/5/2019,1000 - 1100,15,28
10/5/2019,1100 - 1200,27,63
10/5/2019,1200 - 1300,26,55
10/5/2019,1300 - 1400,21,58
10/5/2019,1400 - 1500,29,64
10/5/2019,1500 - 1600,13,26
10/5/2019,1600 - 1700,36,70
10/5/2019,1700 - 1800,44,79
10/5/2019,1800 - 1900,37,65
10/5/2019,1900 - 2000,21,58
10/5/2019,2000 - 2100,43,92
10/5/2019,2100 - 2200,35,49
10/5/2019,2300 - 0000,19,40
10/5/2019,0000 - 0100,40,108
10/5/2019,0500 - 0600,37,77
10/5/2019,0600 - 0700,44,133
10/5/2019,0700 - 0800,83,160
10/5/2019,0800 - 0900,36,103
10/5/2019,0900 - 1000,28,79
10/5/2019,1000 - 1100,29,79
10/5/2019,1100 - 1200,35,84
10/5/2019,1200 - 1300,30,68
10/5/2019,1300 - 1400,31,59
10/5/2019,1400 - 1500,20,65
10/5/2019,1500 - 1600,39,71
10/5/2019,1600 - 1700,30,67
10/5/2019,1700 - 1800,5,9
10/5/2019,1800 - 1900,29,40
10/5/2019,1900 - 2000,14,43
10/5/2019,2000 - 2100,23,57
10/5/2019,2100 - 2200,10,27
10/5/2019,2200 - 2300,8,20
10/6/2019,0000 - 0100,23,37
10/6/2019,0900 - 1000,20,36
10/6/2019,1000 - 1100,18,43
10/6/2019,1100 - 1200,30,64
10/6/2019,1200 - 1300,26,60
10/6/2019,1300 - 1400,17,34
10/6/2019,1400 - 1500,33,66
10/6/2019,1500 - 1600,14,32
10/6/2019,1600 - 1700,18,42
10/6/2019,1700 - 1800,19,47
10/6/2019,1800 - 1900,26,64
10/6/2019,1900 - 2000,20,48
10/6/2019,2000 - 2100,20,62
10/6/2019,2200 - 2300,9,25
10/6/2019,2300 - 0000,7,18
10/6/2019,0600 - 0700,25,58
10/6/2019,0800 - 0900,12,49
10/6/2019,0900 - 1000,15,35
10/6/2019,1000 - 1100,14,37
10/6/2019,1100 - 1200,17,57
10/6/2019,1300 - 1400,11,25
10/6/2019,1400 - 1500,20,45
10/6/2019,1500 - 1600,28,69
10/6/2019,1600 - 1700,20,44
10/6/2019,1700 - 1800,31,43
10/6/2019,1900 - 2000,11,37
10/6/2019,2000 - 2100,11,29
10/6/2019,2100 - 2200,20,50
10/7/2019,0000 - 0100,9,22
10/7/2019,0100 - 0200,8,18
10/7/2019,0400 - 0500,3,5
10/7/2019,0800 - 0900,26,47
10/7/2019,1000 - 1100,20,40
10/7/2019,1100 - 1200,26,57
10/7/2019,1200 - 1300,23,48
10/7/2019,1300 - 1400,13,23
10/7/2019,1400 - 1500,29,71
10/7/2019,1500 - 1600,33,47
