date,hour,Average Wait Time,Max Wait Time,time
10/3/2019,0000 - 0100,12,26,0
10/3/2019,0900 - 1000,20,44,9
10/3/2019,1000 - 1100,24,68,10
10/3/2019,1100 - 1200,27,61,11
10/3/2019,1200 - 1300,16,27,12
10/3/2019,1300 - 1400,26,65,13
10/3/2019,1400 - 1500,18,41,14
10/3/2019,1500 - 1600,29,61,15
10/3/2019,1600 - 1700,35,72,16
10/3/2019,1700 - 1800,36,75,17
10/3/2019,1800 - 1900,35,68,18
10/3/2019,1900 - 2000,27,70,19
10/3/2019,2000 - 2100,41,88,20
10/3/2019,2100 - 2200,13,47,21
10/3/2019,2200 - 2300,8,24,22
10/3/2019,0600 - 0700,17,64,6
10/3/2019,0700 - 0800,26,72,7
10/3/2019,0800 - 0900,18,57,8
10/3/2019,0900 - 1000,17,47,9
10/3/2019,1000 - 1100,10,27,10
10/3/2019,1100 - 1200,32,108,11
10/3/2019,1200 - 1300,35,85,12
10/3/2019,1300 - 1400,34,67,13
10/3/2019,1400 - 1500,17,46,14
10/3/2019,1500 - 1600,39,78,15
10/3/2019,1600 - 1700,36,78,16
10/3/2019,1700 - 1800,17,39,17
10/3/2019,1900 - 2000,15,30,19
10/3/2019,2000 - 2100,22,64,20
10/3/2019,2100 - 2200,18,33,21
10/4/2019,0000 - 0100,8,28,24
10/4/2019,0100 - 0200,10,22,25
10/4/2019,0900 - 1000,9,20,33
10/4/2019,1000 - 1100,46,108,34
10/4/2019,1100 - 1200,43,78,35
10/4/2019,1200 - 1300,50,94,36
10/4/2019,1300 - 1400,24,47,37
10/4/2019,1400 - 1500,39,72,38
10/4/2019,1500 - 1600,20,32,39
10/4/2019,1600 - 1700,18,35,40
10/4/2019,1700 - 1800,28,57,41
10/4/2019,1800 - 1900,15,25,42
10/4/2019,1900 - 2000,27,53,43
10/4/2019,2000 - 2100,20,38,44
10/4/2019,2100 - 2200,17,31,45
10/4/2019,2200 - 2300,8,24,46
10/4/2019,2300 - 0000,32,46,47
10/4/2019,0500 - 0600,28,84,29
10/4/2019,0600 - 0700,54,139,30
10/4/2019,0700 - 0800,51,115,31
10/4/2019,0800 - 0900,20,68,32
10/4/2019,0900 - 1000,17,72,33
10/4/2019,1000 - 1100,26,77,34
10/4/2019,1100 - 1200,26,82,35
10/4/2019,1200 - 1300,20,42,36
10/4/2019,1400 - 1500,19,38,38
10/4/2019,1500 - 1600,27,69,39
10/4/2019,1600 - 1700,30,61,40
10/4/2019,1900 - 2000,13,25,43
10/4/2019,2000 - 2100,29,86,44
10/4/2019,2100 - 2200,39,75,45
10/5/2019,0000 - 0100,16,30,48
10/5/2019,0900 - 1000,17,41,57
10/5/2019,1000 - 1100,15,28,58
10/5/2019,1100 - 1200,27,63,59
10/5/2019,1200 - 1300,26,55,60
10/5/2019,1300 - 1400,21,58,61
10/5/2019,1400 - 1500,29,64,62
10/5/2019,1500 - 1600,13,26,63
10/5/2019,1600 - 1700,36,70,64
10/5/2019,1700 - 1800,44,79,65
10/5/2019,1800 - 1900,37,65,66
10/5/2019,1900 - 2000,21,58,67
10/5/2019,2000 - 2100,43,92,68
10/5/2019,2100 - 2200,35,49,69
10/5/2019,2300 - 0000,19,40,71
10/5/2019,0000 - 0100,40,108,48
10/5/2019,0500 - 0600,37,77,53
10/5/2019,0600 - 0700,44,133,54
10/5/2019,0700 - 0800,83,160,55
10/5/2019,0800 - 0900,36,103,56
10/5/2019,0900 - 1000,28,79,57
10/5/2019,1000 - 1100,29,79,58
10/5/2019,1100 - 1200,35,84,59
10/5/2019,1200 - 1300,30,68,60
10/5/2019,1300 - 1400,31,59,61
10/5/2019,1400 - 1500,20,65,62
10/5/2019,1500 - 1600,39,71,63
10/5/2019,1600 - 1700,30,67,64
10/5/2019,1700 - 1800,5,9,65
10/5/2019,1800 - 1900,29,40,66
10/5/2019,1900 - 2000,14,43,67
10/5/2019,2000 - 2100,23,57,68
10/5/2019,2100 - 2200,10,27,69
10/5/2019,2200 - 2300,8,20,70
10/6/2019,0000 - 0100,23,37,72
10/6/2019,0900 - 1000,20,36,81
10/6/2019,1000 - 1100,18,43,82
10/6/2019,1100 - 1200,30,64,83
10/6/2019,1200 - 1300,26,60,84
10/6/2019,1300 - 1400,17,34,85
10/6/2019,1400 - 1500,33,66,86
10/6/2019,1500 - 1600,14,32,87
10/6/2019,1600 - 1700,18,42,88
10/6/2019,1700 - 1800,19,47,89
10/6/2019,1800 - 1900,26,64,90
10/6/2019,1900 - 2000,20,48,91
10/6/2019,2000 - 2100,20,62,92
10/6/2019,2200 - 2300,9,25,94
10/6/2019,2300 - 0000,7,18,95
10/6/2019,0600 - 0700,25,58,78
10/6/2019,0800 - 0900,12,49,80
10/6/2019,0900 - 1000,15,35,81
10/6/2019,1000 - 1100,14,37,82
10/6/2019,1100 - 1200,17,57,83
10/6/2019,1300 - 1400,11,25,85
10/6/2019,1400 - 1500,20,45,86
10/6/2019,1500 - 1600,28,69,87
10/6/2019,1600 - 1700,20,44,88
10/6/2019,1700 - 1800,31,43,89
10/6/2019,1900 - 2000,11,37,91
10/6/2019,2000 - 2100,11,29,92
10/6/2019,2100 - 2200,20,50,93
10/7/2019,0000 - 0100,9,22,96
10/7/2019,0100 - 0200,8,18,97
10/7/2019,0400 - 0500,3,5,100
10/7/2019,0800 - 0900,26,47,104
10/7/2019,1000 - 1100,20,40,106
10/7/2019,1100 - 1200,26,57,107
10/7/2019,1200 - 1300,23,48,108
10/7/2019,1300 - 1400,13,23,109
10/7/2019,1400 - 1500,29,71,110
10/7/2019,1500 - 1600,33,47,111
10/7/2019,1600 - 1700,17,52,112
10/7/2019,1700 - 1800,17,37,113
10/7/2019,1900 - 2000,14,29,115
10/7/2019,2000 - 2100,16,33,116
10/7/2019,2100 - 2200,11,22,117
10/7/2019,2200 - 2300,4,13,118
10/7/2019,2300 - 0000,11,26,119
10/7/2019,0500 - 0600,44,133,101
10/7/2019,0600 - 0700,44,134,102
10/7/2019,0700 - 0800,33,103,103
10/7/2019,0800 - 0900,22,50,104
10/7/2019,0900 - 1000,24,53,105
10/7/2019,1000 - 1100,22,47,106
10/7/2019,1100 - 1200,18,46,107
10/7/2019,1200 - 1300,20,40,108
10/7/2019,1300 - 1400,12,23,109
10/7/2019,1400 - 1500,19,41,110
10/7/2019,1500 - 1600,11,26,111
10/7/2019,1600 - 1700,20,51,112
10/7/2019,1700 - 1800,15,28,113
10/7/2019,1800 - 1900,16,30,114
10/7/2019,1900 - 2000,16,43,115
10/7/2019,2000 - 2100,26,61,116
10/7/2019,2100 - 2200,17,37,117
10/8/2019,0000 - 0100,10,22,120
10/8/2019,0100 - 0200,8,21,121
10/8/2019,0800 - 0900,15,27,128
10/8/2019,0900 - 1000,6,15,129
10/8/2019,1000 - 1100,16,32,130
10/8/2019,1100 - 1200,45,94,131
10/8/2019,1200 - 1300,46,87,132
10/8/2019,1300 - 1400,32,86,133
10/8/2019,1400 - 1500,47,79,134
10/8/2019,1600 - 1700,19,43,136
10/8/2019,1700 - 1800,31,62,137
10/8/2019,1800 - 1900,23,47,138
10/8/2019,1900 - 2000,23,55,139
10/8/2019,2000 - 2100,21,47,140
10/8/2019,2100 - 2200,10,22,141
10/8/2019,2200 - 2300,11,26,142
10/8/2019,0500 - 0600,17,64,125
10/8/2019,0600 - 0700,28,82,126
10/8/2019,0700 - 0800,14,31,127
10/8/2019,0800 - 0900,11,30,128
10/8/2019,0900 - 1000,14,35,129
10/8/2019,1000 - 1100,15,34,130
10/8/2019,1100 - 1200,24,62,131
10/8/2019,1200 - 1300,23,50,132
10/8/2019,1300 - 1400,11,21,133
10/8/2019,1400 - 1500,19,38,134
10/8/2019,1500 - 1600,16,46,135
10/8/2019,1600 - 1700,26,67,136
10/8/2019,1900 - 2000,33,121,139
10/8/2019,2000 - 2100,43,108,140
10/8/2019,2100 - 2200,33,81,141
10/9/2019,0000 - 0100,18,38,144
10/9/2019,0900 - 1000,13,29,153
10/9/2019,1000 - 1100,25,53,154
10/9/2019,1100 - 1200,38,84,155
10/9/2019,1200 - 1300,46,92,156
10/9/2019,1300 - 1400,29,59,157
10/9/2019,1400 - 1500,45,86,158
10/9/2019,1500 - 1600,27,39,159
10/9/2019,1600 - 1700,23,58,160
10/9/2019,1700 - 1800,40,61,161
10/9/2019,1800 - 1900,19,57,162
10/9/2019,1900 - 2000,41,118,163
10/9/2019,2000 - 2100,45,93,164
10/9/2019,2100 - 2200,17,40,165
10/9/2019,2300 - 0000,9,21,167
10/9/2019,0600 - 0700,19,69,150
10/9/2019,0700 - 0800,18,52,151
10/9/2019,0800 - 0900,8,19,152
10/9/2019,0900 - 1000,12,41,153
10/9/2019,1000 - 1100,24,87,154
10/9/2019,1100 - 1200,34,81,155
10/9/2019,1200 - 1300,31,70,156
10/9/2019,1300 - 1400,11,24,157
10/9/2019,1400 - 1500,16,47,158
10/9/2019,1500 - 1600,25,81,159
10/9/2019,1600 - 1700,23,63,160
10/9/2019,1700 - 1800,30,67,161
10/9/2019,1800 - 1900,16,39,162
10/9/2019,1900 - 2000,13,32,163
10/9/2019,2000 - 2100,34,94,164
10/9/2019,2100 - 2200,35,71,165
10/10/2019,0000 - 0100,14,43,168
10/10/2019,0900 - 1000,18,39,177
10/10/2019,1000 - 1100,23,50,178
10/10/2019,1100 - 1200,25,61,179
10/10/2019,1200 - 1300,48,97,180
10/10/2019,1300 - 1400,45,85,181
10/10/2019,1400 - 1500,55,109,182
10/10/2019,1600 - 1700,30,51,184
10/10/2019,1700 - 1800,35,68,185
10/10/2019,1800 - 1900,46,84,186
10/10/2019,1900 - 2000,33,74,187
10/10/2019,2000 - 2100,23,65,188
10/10/2019,2100 - 2200,20,50,189
10/10/2019,2200 - 2300,8,25,190
10/10/2019,0500 - 0600,41,99,173
10/10/2019,0600 - 0700,54,128,174
10/10/2019,0700 - 0800,46,114,175
10/10/2019,0800 - 0900,32,96,176
10/10/2019,0900 - 1000,22,62,177
10/10/2019,1000 - 1100,33,139,178
10/10/2019,1100 - 1200,53,148,179
10/10/2019,1200 - 1300,45,125,180
10/10/2019,1300 - 1400,33,68,181
10/10/2019,1400 - 1500,35,86,182
10/10/2019,1500 - 1600,25,52,183
10/10/2019,1600 - 1700,35,94,184
10/10/2019,1700 - 1800,16,55,185
10/10/2019,1800 - 1900,21,39,186
10/10/2019,1900 - 2000,9,21,187
10/10/2019,2000 - 2100,22,65,188
10/10/2019,2100 - 2200,19,36,189
10/11/2019,0000 - 0100,19,32,192
10/11/2019,0100 - 0200,12,25,193
10/11/2019,0900 - 1000,20,36,201
10/11/2019,1000 - 1100,29,60,202
10/11/2019,1100 - 1200,52,101,203
10/11/2019,1200 - 1300,57,105,204
10/11/2019,1300 - 1400,41,70,205
10/11/2019,1400 - 1500,41,78,206
10/11/2019,1600 - 1700,19,47,208
10/11/2019,1700 - 1800,29,62,209
10/11/2019,1900 - 2000,22,61,211
10/11/2019,2000 - 2100,36,80,212
10/11/2019,2200 - 2300,14,42,214
10/11/2019,2300 - 0000,10,25,215
10/11/2019,0500 - 0600,15,42,197
10/11/2019,0600 - 0700,24,75,198
10/11/2019,0700 - 0800,27,96,199
10/11/2019,0800 - 0900,29,84,200
10/11/2019,0900 - 1000,17,53,201
10/11/2019,1000 - 1100,21,47,202
10/11/2019,1100 - 1200,10,24,203
10/11/2019,1200 - 1300,27,73,204
10/11/2019,1300 - 1400,23,43,205
10/11/2019,1400 - 1500,17,41,206
10/11/2019,1500 - 1600,21,69,207
10/11/2019,1600 - 1700,39,91,208
10/11/2019,1700 - 1800,31,62,209
10/11/2019,1800 - 1900,19,36,210
10/11/2019,1900 - 2000,10,25,211
10/11/2019,2000 - 2100,29,82,212
10/11/2019,2100 - 2200,35,73,213
10/12/2019,0100 - 0200,9,23,217
10/12/2019,0900 - 1000,21,42,225
10/12/2019,1000 - 1100,15,32,226
10/12/2019,1100 - 1200,23,42,227
10/12/2019,1200 - 1300,39,73,228
10/12/2019,1400 - 1500,41,98,230
10/12/2019,1500 - 1600,32,70,231
10/12/2019,1600 - 1700,9,13,232
10/12/2019,1700 - 1800,21,46,233
10/12/2019,1800 - 1900,24,44,234
10/12/2019,1900 - 2000,11,25,235
10/12/2019,2000 - 2100,28,61,236
10/12/2019,2100 - 2200,13,29,237
10/12/2019,2200 - 2300,12,35,238
10/12/2019,0500 - 0600,16,70,221
10/12/2019,0600 - 0700,20,68,222
10/12/2019,0700 - 0800,35,101,223
10/12/2019,0800 - 0900,46,106,224
10/12/2019,0900 - 1000,22,63,225
10/12/2019,1000 - 1100,20,50,226
10/12/2019,1100 - 1200,27,91,227
10/12/2019,1200 - 1300,34,87,228
10/12/2019,1300 - 1400,28,64,229
10/12/2019,1400 - 1500,28,73,230
10/12/2019,1500 - 1600,23,74,231
10/12/2019,1600 - 1700,40,103,232
10/12/2019,1700 - 1800,20,41,233
10/12/2019,1900 - 2000,15,36,235
10/12/2019,2000 - 2100,11,25,236
10/12/2019,2100 - 2200,10,22,237
10/13/2019,0000 - 0100,20,42,240
10/13/2019,0900 - 1000,23,52,249
10/13/2019,1000 - 1100,22,46,250
10/13/2019,1100 - 1200,45,96,251
10/13/2019,1200 - 1300,59,100,252
10/13/2019,1300 - 1400,20,43,253
10/13/2019,1400 - 1500,47,94,254
10/13/2019,1500 - 1600,19,31,255
10/13/2019,1600 - 1700,13,26,256
10/13/2019,1700 - 1800,12,32,257
10/13/2019,1800 - 1900,18,48,258
10/13/2019,1900 - 2000,24,47,259
10/13/2019,2000 - 2100,24,48,260
10/13/2019,2100 - 2200,14,48,261
10/13/2019,0500 - 0600,34,77,245
10/13/2019,0600 - 0700,29,80,246
10/13/2019,0700 - 0800,19,47,247
10/13/2019,0800 - 0900,13,28,248
10/13/2019,0900 - 1000,17,42,249
10/13/2019,1100 - 1200,12,33,251
10/13/2019,1200 - 1300,22,59,252
10/13/2019,1300 - 1400,20,41,253
10/13/2019,1400 - 1500,10,22,254
10/13/2019,1500 - 1600,37,107,255
10/13/2019,1600 - 1700,46,97,256
10/13/2019,1700 - 1800,26,56,257
10/13/2019,1900 - 2000,14,40,259
10/13/2019,2000 - 2100,16,43,260
10/14/2019,0000 - 0100,12,25,264
10/14/2019,0100 - 0200,9,18,265
10/14/2019,0900 - 1000,19,46,273
10/14/2019,1000 - 1100,17,35,274
10/14/2019,1100 - 1200,27,56,275
10/14/2019,1200 - 1300,21,52,276
10/14/2019,1300 - 1400,12,24,277
10/14/2019,1400 - 1500,53,106,278
10/14/2019,1500 - 1600,33,85,279
10/14/2019,1600 - 1700,21,53,280
10/14/2019,1700 - 1800,33,76,281
10/14/2019,1800 - 1900,26,57,282
10/14/2019,1900 - 2000,21,49,283
10/14/2019,2100 - 2200,11,33,285
10/14/2019,0500 - 0600,21,60,269
10/14/2019,0600 - 0700,30,78,270
10/14/2019,0700 - 0800,10,27,271
10/14/2019,0800 - 0900,13,43,272
10/14/2019,0900 - 1000,18,39,273
10/14/2019,1000 - 1100,20,50,274
10/14/2019,1100 - 1200,16,27,275
10/14/2019,1200 - 1300,21,63,276
10/14/2019,1300 - 1400,16,38,277
10/14/2019,1400 - 1500,16,48,278
10/14/2019,1500 - 1600,19,46,279
10/14/2019,1600 - 1700,24,65,280
10/14/2019,1700 - 1800,18,40,281
