Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Path,Path1,[Travelers],Content,NumberOnLink,Average,3.2878888888889
Path,Path1,[Travelers],Content,NumberOnLink,Maximum,321
Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path1,[Travelers],FlowTime,TimeOnLink,Average,0.0302380952380966
Path,Path1,[Travelers],FlowTime,TimeOnLink,Maximum,0.0302380952380954
Path,Path1,[Travelers],FlowTime,TimeOnLink,Minimum,0.0302380952380952
Path,Path1,[Travelers],Throughput,NumberEntered,Total,1631
Path,Path1,[Travelers],Throughput,NumberExited,Total,1631
Path,Path2,[Travelers],Content,NumberOnLink,Average,6.33790476190479
Path,Path2,[Travelers],Content,NumberOnLink,Maximum,455
Path,Path2,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path2,[Travelers],FlowTime,TimeOnLink,Average,0.0302380952380945
Path,Path2,[Travelers],FlowTime,TimeOnLink,Maximum,0.0302380952380954
Path,Path2,[Travelers],FlowTime,TimeOnLink,Minimum,0.0302380952380952
Path,Path2,[Travelers],Throughput,NumberEntered,Total,3144
Path,Path2,[Travelers],Throughput,NumberExited,Total,3144
Path,Path3,[Travelers],Content,NumberOnLink,Average,3.19990214782669
Path,Path3,[Travelers],Content,NumberOnLink,Maximum,23
Path,Path3,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path3,[Travelers],FlowTime,TimeOnLink,Average,0.0226785714285711
Path,Path3,[Travelers],FlowTime,TimeOnLink,Maximum,0.0226785714285715
Path,Path3,[Travelers],FlowTime,TimeOnLink,Minimum,0.0226785714285711
Path,Path3,[Travelers],Throughput,NumberEntered,Total,2117
Path,Path3,[Travelers],Throughput,NumberExited,Total,2116
Path,Path4,[Travelers],Content,NumberOnLink,Average,3.56266291798202
Path,Path4,[Travelers],Content,NumberOnLink,Maximum,48
Path,Path4,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path4,[Travelers],FlowTime,TimeOnLink,Average,0.0226785714285711
Path,Path4,[Travelers],FlowTime,TimeOnLink,Maximum,0.022678571428572
Path,Path4,[Travelers],FlowTime,TimeOnLink,Minimum,0.0226785714285711
Path,Path4,[Travelers],Throughput,NumberEntered,Total,2361
Path,Path4,[Travelers],Throughput,NumberExited,Total,2352
